source_city,dest_city,num_airlines
Amilcar Cabral,Cologne,1
Amilcar Cabral,Frankfurt,1
Amilcar Cabral,Hannover,1
Amilcar Cabral,Luxemburg,1
Amilcar Cabral,Munich,1
Amilcar Cabral,"Praia, Santiago Island",1
Amilcar Cabral,Sao Nocolau Island,1
Amilcar Cabral,Sao Vicente Island,1
Amilcar Cabral,Stuttgart,1
Amman,Alexandria,1
Amman,Amsterdam,1
Amman,Aqaba,1
Amman,Athens,1
Amman,Baghdad,1
Amman,Basrah,1
Amman,Dammam,1
Amman,Delhi,1
Amman,Geneva,1
Amman,Hodeidah,1
Amman,Khartoum,1
Amman,Kiev,1
Amman,Lagos,1
Amman,Larnaca,1
Amman,Mumbai,1
Amman,Sharjah,1
Amman,Sharm El Sheikh,1
Amman,Sulaymaniyah,1
Amman,Tunis,1
Amman,Zurich,1
Amritsar,Ashkhabad,1
Amritsar,Mumbai,1
Amritsar,Srinagar,1
Amritsar,Tashkent,1
Amsterdam,Aberdeen,1
Amsterdam,Accra,1
Amsterdam,Ajaccio,1
Amsterdam,Alma-ata,1
Amsterdam,Amman,1
Amsterdam,Arrecife,1
Amsterdam,Atyrau,1
Amsterdam,Bari,1
Amsterdam,Belfast,1
Amsterdam,Bern,1
Amsterdam,Bodrum,1
Amsterdam,Brussels,1
Amsterdam,Budapest,1
Amsterdam,Buenos Aires,1
Amsterdam,Chania,1
Amsterdam,Chios,1
Amsterdam,Cork,1
Amsterdam,Dalaman,1
Amsterdam,Delhi,1
Amsterdam,Dublin,1
Amsterdam,Dubrovnik,1
Amsterdam,East Midlands,1
Amsterdam,Erbil,1
Amsterdam,Exeter,1
Amsterdam,Faro,1
Amsterdam,Fuerteventura,1
Amsterdam,Fukuoka,1
Amsterdam,Funchal,1
Amsterdam,Gdansk,1
Amsterdam,Gerona,1
Amsterdam,Gothenborg,1
Amsterdam,Gran Canaria,1
Amsterdam,Guernsey,1
Amsterdam,Havana,1
Amsterdam,Heraklion,1
Amsterdam,Holguin,1
Amsterdam,Innsbruck,1
Amsterdam,Inverness,1
Amsterdam,Jersey,1
Amsterdam,Johannesburg,1
Amsterdam,Keflavik,1
Amsterdam,Kerkyra/corfu,1
Amsterdam,Kithira,1
Amsterdam,Konya,1
Amsterdam,Kos,1
Amsterdam,Krakow,1
Amsterdam,Kralendijk,1
Amsterdam,Lagos,1
Amsterdam,Lamezia,1
Amsterdam,Leipzig,1
Amsterdam,Linkoeping,1
Amsterdam,Liverpool,1
Amsterdam,Ljubljana,1
Amsterdam,Luanda,1
Amsterdam,Luxemburg,1
Amsterdam,Marrakech,1
Amsterdam,Mexico City,1
Amsterdam,Milano,1
Amsterdam,Minsk 2,1
Amsterdam,Mykonos,1
Amsterdam,Naples,1
Amsterdam,Nuernberg,1
Amsterdam,Osaka,1
Amsterdam,Paphos,1
Amsterdam,Philipsburg,1
Amsterdam,Pisa,1
Amsterdam,Ponta Delgada,1
Amsterdam,Preveza,1
Amsterdam,Puerto Plata,1
Amsterdam,Punta Cana,1
Amsterdam,Rhodos,1
Amsterdam,Rio De Janeiro,1
Amsterdam,Samos,1
Amsterdam,Sanford,1
Amsterdam,Santa Cruz De La Palma,1
Amsterdam,Sao Paulo,1
Amsterdam,Sao Vicente Island,1
Amsterdam,Sofia,1
Amsterdam,Southampton,1
Amsterdam,Southend,1
Amsterdam,Stuttgart,1
Amsterdam,Tehran,1
Amsterdam,Tenerife,1
Amsterdam,Thessaloniki,1
Amsterdam,Thira,1
Amsterdam,Tokyo,1
Amsterdam,Torino,1
Amsterdam,Tunis,1
Amsterdam,Varadero,1
Amsterdam,Vaxjo,1
Amsterdam,Villafranca,1
Amsterdam,Zagreb,1
Amsterdam,Zakynthos,1
Anadyr,Khabarovsk,1
Anadyr,Moscow,1
Anahim Lake,Vancouver,1
Anaktuvuk Pass,Bettles,1
Anapa,St. Petersburg,1
Anchorage,Adak Island,1
Anchorage,Barrow,1
Anchorage,Deadhorse,1
Anchorage,Denver,1
Anchorage,Honolulu,1
Anchorage,Iliamna,1
Anchorage,Juneau,1
Anchorage,Kotzebue,1
Anchorage,Las Vegas,1
Anchorage,Minneapolis,1
Anchorage,Nome,1
Anchorage,Portland,1
Anchorage,Salt Lake City,1
Ancona,Alghero,1
Ancona,Berlin,1
Ancona,Catania,1
Ancona,Charleroi,1
Ancona,Duesseldorf,1
Ancona,London,1
Ancona,Munich,1
Ancona,Rome,1
Ancona,Trapani,1
Ancona,Weeze,1
Andahuaylas,Lima,1
Andizhan,Moscow,1
Andizhan,St. Petersburg,1
Andizhan,Tashkent,1
Andoya,Bodo,1
Andoya,Harstad/Narvik,1
Andoya,Tromso,1
Anelghowhat,Tanna,1
Angeles City,Bangkok,1
Angeles City,Cebu,1
Angeles City,Kalibo,1
Angeles City,Macau,1
Angelsey,Cardiff,1
Angling Lake,Bearskin Lake,1
Angling Lake,Big Trout Lake,1
Angouleme,Figari,1
Aniak,Russian Mission,1
Aniak,Shageluk,1
Aniwa,Futuna Island,1
Aniwa,Tanna,1
Ankara,Adana,1
Ankara,Adiyaman,1
Ankara,Agri,1
Ankara,Alanya,1
Ankara,Antalya,1
Ankara,Baghdad,1
Ankara,Baku,1
Ankara,Batman,1
Ankara,Belgrade,1
Ankara,Canakkale,1
Ankara,Cologne,1
Ankara,Diyabakir,1
Ankara,Duesseldorf,1
Ankara,Elazig,1
Ankara,Erzincan,1
Ankara,Erzurum,1
Ankara,Frankfurt,1
Ankara,Gaziantep,1
Ankara,Hatay,1
Ankara,Kahramanmaras,1
Ankara,Kars,1
Ankara,Malatya,1
Ankara,Mardin,1
Ankara,Moscow,1
Ankara,Munich,1
Ankara,Mus,1
Ankara,Sanliurfa,1
Ankara,Stuttgart,1
Ankara,Trabzon,1
Ankara,Van,1
Ankara,Çorlu,1
Annaba,Algier,1
Annaba,Istanbul,1
Annaba,Lyon,1
Annaba,Oran,1
Anqing,Beijing,1
Anqing,Chongqing,1
Anqing,Guangzhou,1
Anqing,Haikou,1
Anqing,Shanghai,1
Anqing,Wuhan,1
Anqing,Xiamen,1
Anshan,Beijing,1
Anshun,Chongqing,1
Anshun,Guangzhou,1
Anta,Lima,1
Antalaha,Antananarivo,1
Antalaha,Maroantsetra,1
Antalaha,Toamasina,1
Antalya,Ankara,1
Antalya,Baghdad,1
Antalya,Bergen,1
Antalya,Billund,1
Antalya,Bremen,1
Antalya,Copenhagen,1
Antalya,Eindhoven,1
Antalya,Erbil,1
Antalya,Erfurt,1
Antalya,Friedrichshafen,1
Antalya,Geneva,1
Antalya,Glasgow,1
Antalya,Groningen,1
Antalya,Helsinki,1
Antalya,Kassel,1
Antalya,Kazan,1
Antalya,Laage,1
Antalya,Leeds,1
Antalya,Linz,1
Antalya,Luxemburg,1
Antalya,Munster,1
Antalya,Nicosia,1
Antalya,Oslo,1
Antalya,Paris,1
Antalya,Prague,1
Antalya,Rostov,1
Antalya,Rotterdam,1
Antalya,Sandefjord,1
Antalya,St. Petersburg,1
Antalya,Trabzon,1
Antalya,Trondheim,1
Antalya,Zweibruecken,1
Antananarivo,Antalaha,1
Antananarivo,Antsiranana,1
