icao,count
OMG,1
ONR,1
ONT,1
ORP,1
ORS,1
OSN,1
OSO,1
PAJ,1
PBT,1
PBU,1
PCG,1
PCK,1
PCS,1
PEL,1
PFI,1
PFT,1
PHR,1
PHW,1
PIE,1
PIF,1
PKA,1
PNL,1
PNU,1
POY,1
PRI,1
PRT,1
PRZ,1
PSE,1
PSL,1
PVA,1
PZA,1
QCL,1
QEA,1
QAT,1
QKC,1
QLA,1
QSC,1
QUI,1
RAD,1
RAI,1
RAP,1
RBE,1
RBJ,1
RBU,1
RBV,1
RBX,1
RCC,1
RCE,1
RCF,1
RCH,1
RCI,1
RCO,1
RCP,1
RCQ,1
RCU,1
RCX,1
RDD,1
RDM,1
REA,1
REN,1
RES,1
REU,1
REY,1
RFC,1
RFD,1
RGO,1
RGT,1
RHL,1
RIF,1
RIS,1
RIT,1
RJS,1
RKA,1
RLA,1
RLK,1
RLL,1
RLN,1
RLZ,1
RMD,1
RME,1
RML,1
RMO,1
RMX,1
RNE,1
RNM,1
RNR,1
RNV,1
ROE,1
ROH,1
ROI,1
ROL,1
ROM,1
ROO,1
ROD,1
RPB,1
RPC,1
RRC,1
RRE,1
RRM,1
RSC,1
RSR,1
RSU,1
RTE,1
RTH,1
RTO,1
RTQ,1
RTU,1
RUD,1
RUM,1
RUN,1
RVP,1
RVT,1
RWB,1
RWC,1
RWY,1
RXT,1
RXX,1
RWS,1
RZL,1
RZN,1
RZZ,1
SBH,1
SCD,1
SCM,1
SDO,1
SDP,1
SEF,1
SER,1
SFM,1
SGV,1
SHH,1
SIY,1
SIZ,1
SJN,1
SKP,1
SMI,1
SMJ,1
SOD,1
SOE,1
SOG,1
SPD,1
SPJ,1
SPO,1
SPY,1
SPZ,1
SQR,1
SRI,1
SRV,1
SSL,1
SSM,1
SSN,1
STK,1
STT,1
SUE,1
SUY,1
SVK,1
SWH,1
SYL,1
SYT,1
TAA,1
TAO,1
TBL,1
TBO,1
TCI,1
TCO,1
TDG,1
TDT,1
TDY,1
TED,1
TFL,1
TIR,1
TLB,1
TLD,1
TLE,1
TLU,1
TME,1
TOC,1
TOH,1
TOK,1
TON,1
TPB,1
TPC,1
TPK,1
TPO,1
TQS,1
TRH,1
TRS,1
TSC,1
TSQ,1
TTB,1
TTE,1
TUN,1
TWN,1
TXD,1
TXF,1
TXI,1
TZA,1
TZT,1
UAG,1
UAR,1
UCK,1
UCR,1
UED,1
UKR,1
UMB,1
UND,1
FLP,1
GLG,1
GLB,1
DRU,1
PVO,1
BAA,1
BAB,1
BAC,1
BAE,1
BAF,1
BAJ,1
BAK,1
BAL,1
BAM,1
BAN,1
BAR,1
BAU,1
BAV,1
BAW,1
BAX,1
BAY,1
BBA,1
BBC,1
BBD,1
BBS,1
BBV,1
BBZ,1
BCF,1
BCI,1
BCL,1
BCR,1
BCT,1
BCV,1
BDA,1
BDF,1
AYB,1
BDR,1
BEA,1
BED,1
AJC,1
BEF,1
BEH,1
