icao,count
LOXZ,1
LPAR,1
LPAZ,1
LPBG,1
LPBJ,1
LPBR,1
LPCO,1
LPCS,1
LPCV,1
LPEV,1
LPFL,1
LPFR,1
LPGR,1
LPHR,1
LPLA,1
LPMR,1
LPMT,1
LPOV,1
LPPD,1
LPPI,1
LPPM,1
LPPR,1
LPPS,1
LPPT,1
LPSJ,1
LPST,1
LPTN,1
LPVR,1
LPVZ,1
LQMO,1
LQSA,1
LRAR,1
LRBC,1
LRBM,1
LRBS,1
LRCK,1
LRCL,1
LRCS,1
LRCV,1
LRIA,1
LROD,1
LROP,1
LRSB,1
LRSM,1
LRSV,1
LRTC,1
LRTM,1
LRTR,1
LSGC,1
LSGG,1
LSGK,1
LSGS,1
LSMA,1
LSMD,1
LSME,1
LSMF,1
LSMM,1
LSMP,1
LSZA,1
LSZB,1
LSZG,1
LSZH,1
LSZR,1
LSZS,1
LTAB,1
LTAC,1
LTAD,1
LTAE,1
LTAF,1
LTAG,1
LTAH,1
LTAI,1
LTAJ,1
LTAK,1
LTAN,1
LTAO,1
LTAP,1
LTAR,1
LTAT,1
LTAU,1
LTAV,1
LTAW,1
LTAY,1
LTBA,1
LTBF,1
LTBG,1
LTBI,1
LTBJ,1
LTBK,1
LTBL,1
LTBM,1
LTBN,1
LTBP,1
LTBQ,1
LTBS,1
LTBT,1
LTBV,1
LTBX,1
LTCA,1
LTCC,1
LTCD,1
LTCE,1
LTCG,1
LTCI,1
LTCJ,1
LTCL,1
LTFA,1
LTFB,1
LUBL,1
LUKK,1
LWOH,1
LWSK,1
LXGB,1
LYBE,1
LYNI,1
LYPG,1
BKPR,1
LYTV,1
LYVR,1
LZIB,1
LZKZ,1
LZMC,1
LZPP,1
LZSL,1
LZTN,1
LZTT,1
MBNC,1
MBPV,1
MBSC,1
MDAB,1
MDBH,1
MDCR,1
MDLR,1
MDPC,1
MDPP,1
MDSD,1
MDSI,1
MDST,1
MGBN,1
MGCB,1
MGGT,1
MGRT,1
MGSJ,1
MHLC,1
MHLM,1
MHNJ,1
MHRO,1
MHTE,1
MHTG,1
MHTJ,1
MKBS,1
MKJP,1
MKJS,1
MKKJ,1
MKTP,1
MMAA,1
MMAN,1
MMAS,1
MMBT,1
MMCB,1
MMCC,1
MMCE,1
MMCG,1
MMCH,1
MMCL,1
MMCM,1
MMCN,1
MMCP,1
MMCS,1
MMCU,1
MMCV,1
MMCZ,1
MMDO,1
MMEP,1
MMES,1
MMGL,1
MMGM,1
MMHC,1
MMHO,1
MMIA,1
MMIM,1
MMIO,1
MMIT,1
MMLC,1
MMLM,1
MMLO,1
MMLP,1
MMLT,1
MMMA,1
MMMD,1
MMML,1
MMMM,1
MMMT,1
MMMV,1
MMMX,1
MMMY,1
MMMZ,1
MMNG,1
MMNL,1
MMOX,1
MMPA,1
MMPB,1
MMPC,1
MMPE,1
MMPG,1
MMPN,1
MMPR,1
MMPS,1
MMQT,1
MMRX,1
MMSD,1
MMSF,1
MMSP,1
MMTA,1
MMTB,1
MMTC,1
MMTG,1
MMTJ,1
MMTM,1
MMTN,1
MMTO,1
MMTP,1
MMUN,1
MMVA,1
MMVR,1
MMZC,1
MMZH,1
MMZM,1
MMZO,1
MMZP,1
MNBL,1
MNBR,1
MNLN,1
MNMG,1
MNPC,1
MPBO,1
MPCH,1
MPDA,1
MPHO,1
MPMG,1
MPSA,1
MPTO,1
MRBA,1
MRCC,1
MRCH,1
MREC,1
MRFI,1
MRGF,1
MRGP,1
MRLB,1
MRLC,1
MRLM,1
MRNS,1
MROC,1
MRPD,1
MRPM,1
MRQP,1
MRSG,1
MRSV,1
MSLP,1
MSSS,1
MTCA,1
MTCH,1
MTJA,1
MTPP,1
MUBA,1
MUBY,1
MUCA,1
MUCC,1
MUCF,1
MUCL,1
MUCM,1
MUCU,1
MUFL,1
MUGM,1
MUGT,1
MUHA,1
MUHG,1
MULM,1
MUMO,1
MUMZ,1
MUNG,1
MUPB,1
MUPR,1
MUSA,1
MUSC,1
MUSL,1
MUSN,1
MUSS,1
MUVR,1
MUVT,1
MWCB,1
MWCR,1
MYAB,1
MYAF,1
MYAM,1
MYAN,1
MYAP,1
MYAS,1
MYAT,1
MYBC,1
MYBG,1
MYBS,1
MYEF,1
MYEG,1
MYEH,1
MYEM,1
MYEN,1
MYER,1
MYES,1
MYGF,1
MYIG,1
MYLD,1
MYLS,1
MYMM,1
MYNN,1
MYRD,1
MYRP,1
MYSM,1
MZBZ,1
NCAI,1
NCRG,1
NFFN,1
NFNA,1
NFTF,1
NFTV,1
NGTA,1
NGTE,1
NLWW,1
NSFA,1
NSTU,1
NTAR,1
NTAT,1
NTGA,1
NTGB,1
NTGC,1
NTGE,1
NTGF,1
NTGI,1
NTGJ,1
NTGK,1
NTGM,1
NTGP,1
NTGT,1
NTGU,1
NTGV,1
NTKR,1
NTMD,1
NTTB,1
NTTG,1
NTTH,1
NTTM,1
NTTO,1
NTTP,1
NTTR,1
NVVV,1
NWWD,1
NWWK,1
NWWL,1
NWWM,1
NWWR,1
NWWU,1
NWWV,1
NWWW,1
NZAA,1
NZAP,1
NZAR,1
NZCH,1
NZCI,1
NZDN,1
NZGS,1
NZGT,1
NZHK,1
NZHN,1
NZHS,1
NZKK,1
NZKT,1
NZLX,1
NZMC,1
NZMO,1
NZMS,1
NZNP,1
NZNS,1
NZNV,1
NZOH,1
NZOU,1
NZPM,1
NZPP,1
NZQN,1
NZRO,1
NZRU,1
NZSP,1
NZTG,1
NZTU,1
NZUK,1
NZWB,1
NZWD,1
NZWF,1
NZWG,1
NZWK,1
NZWN,1
NZWO,1
NZWP,1
NZWR,1
NZWS,1
NZWU,1
OAHR,1
OAJL,1
OAKB,1
OAKN,1
OAMN,1
OAMS,1
OASD,1
OASG,1
OAUZ,1
OBBI,1
OBBS,1
OEAB,1
OEAH,1
OEBA,1
OEBH,1
OEBQ,1
OEDF,1
OEDR,1
OEGN,1
